Compliance Type,Requirment #, Requirement Description,Simple Explanation,WorkStreams,Measures Taken,Documented In,Documented In,Document Links,Top Matches,Document Links For the Top Matches,What is Missing,Actions Needed to Fix GAPS- Design,Supporting Workstream,Patch Fixes URL,DOcuments Scanned,Status,Imp Needed,Imp Reason,O.E Needed,O.E Reason,Imp Status,Imp Evidence,Imp Evidence Links,Imp Gaps,Imp Gap Fixes,O.E Status,O.E Evidence,O.E Evidence Links,O.E Gaps,O.E Gap Fixes
DORA,Article 6,"6. The ICT risk management framework of financial entities, other than microenterprises, shall be subject to internal audit by auditors on a regular basis in line with the financial entities’ audit plan. Those auditors shall possess sufficient knowledge, skills and expertise in ICT risk, as well as appropriate independence. The frequency and focus of ICT audits shall be commensurate to the ICT risk of the financial entity.",,ICT Risk Management,"- ZPS Information Risk Management Policy 2.0 – [ICT Risk Management Framework]: The ICT risk management framework includes the definition of risk tolerance levels, risk treatment decisions, monitoring and control processes, reporting obligations, and submission of a report on the review of the ICT Risk Management Framework to competent authorities.
- ZPS Risk Management Policy 6.0  – [Monitoring and Improvement]: The effectiveness of the Risk Management Framework is monitored through different measures, including regular review by the Internal Audit team.
- ZPS ICT Risk Management Guideline – [Responsibilities]: The responsibilities section clearly outlines the roles and responsibilities related to the execution of the Structural Analysis and Need Assessment, which is a key component of the ICT risk management framework internal audit requirement.","• ZPS Regular review of the Control Catalogue (Target Controls).docx – [Frequency] Semi-annual Reviews: Regular, scheduled reviews will be conducted every half year to ensure consistent oversight and evaluation of controls. (Strong)
• ZPS Information Risk Management Policy 2.0.docx – [Requirements] The Framework must be reviewed at least once a year, or ad-hoc in case of occurrence of major ICT-related incidents, following supervisory instructions, conclusions derived from digital operational resilience testing or… (Strong)
• ZPS Risk Management Policy 6.0_.docx – [The effectiveness of the Risk Management Framework is monitored through different measures] Regular review by the Internal Audit team; (Strong)
• ZPS Regular review of the Control Catalogue (Target Controls).docx – [Verification] Verification Meeting: Information Security convenes with the Asset Owner the dates to verify that selected controls are implemented and operating as intended. (Strong)
• ZPS Regular review of the Control Catalogue (Target Controls).docx – [Verification] Information Security: Overall responsibility for the verification and testing process. (Related)
• ZPS Regular review of the Control Catalogue (Target Controls).docx – [Verification] Frequency
Semi-annual Reviews: Regular, scheduled reviews will be conducted every half year to ensure consistent oversight and evaluation of controls. (Strong)",,"https://drive.google.com/file/d/1CGm4qMHGVtagi4jD7Fqee2Van5pEUvJr/preview
https://drive.google.com/file/d/1beJnZOFdUGbXwbXLe03rHHQx-_MDVKZ9/preview
https://drive.google.com/file/d/1P3gCM4-LEXmErFCrQ4CC_0sVJ9fVYfyR/preview","Top Relevant Documents:
1. [Score: 5] Definition: ZPS Information Risk Management Policy 2.0 – [ICT Risk Management Framework]: The ICT risk management framework includes the definition of risk tolerance levels, risk treatment decisions, monitoring and control processes, reporting obligations, and submission of a report on the review of the ICT Risk Management Framework to competent authorities, as required by DORA regulations.
2. [Score: 4] Definition: ZPS Risk Management Policy 6.0  – [Monitoring and Improvement]: The effectiveness of the Risk Management Framework is monitored through different measures, including regular review by the Internal Audit team, audit of early risk detection system by the statutory auditor, and continuous review and improvements on methodologies, policies, processes, and training.",,"- [F1] No documented evidence of auditors possessing sufficient knowledge, skills, and expertise in ICT risk.
- [F2] No documented evidence of auditors maintaining appropriate independence.
- [F3] No documented evidence of the frequency and focus of ICT audits being commensurate to the ICT risk of the financial entity.","- Update: ZPS ICT Risk Management Guideline — Add a section under ""Responsibilities"" detailing the qualifications and independence of auditors. [Covers: F1, F2]
- Update: ZPS Risk Management Policy 6.0 — Add a section under ""Monitoring and Improvement"" specifying the frequency and focus of ICT audits in relation to the ICT risk of the financial entity. [Covers: F3]",,,"Workstreams considered: ict risk management
Documents scanned (Evidence Category: design):
• ZPS ICT Risk Management Guideline.docx
• ZPS Risk Management Policy 6.0_.docx
• ZPS Information Risk Management Policy 2.0.docx
• ZPS ICT Risk Management Procedure.docx
• 03. Work instructions for assessing risks and usage of SAP GRC 4.0.docx
• ZPS Regular review of the Control Catalogue (Target Controls).docx",Partial compliant,Yes,The updates to the documents need to be implemented to ensure compliance.,Yes,The effectiveness of the updated policies and guidelines needs to be evaluated in practice.,,,,,,,,,,
DORA,Article 6,"7. Based on the conclusions from the internal audit review, financial entities shall establish a formal follow-up process, including rules for the timely verification and remediation of critical ICT audit findings.",,ICT Strategy & Governance,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 14 (1),"1. As part of the ICT risk management framework referred to in Article 6(1), financial entities shall have in place crisis communication plans enabling a responsible disclosure of, at least, major ICT-related incidents or vulnerabilities to clients and counterparts as well as to the public, as appropriate.",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 14 (2),"2. As part of the ICT risk management framework, financial entities shall implement communication policies for internal staff and for external stakeholders. Communication policies for staff shall take into account the need to differentiate between staff involved in ICT risk management, in particular the staff responsible for response and recovery, and staff that needs to be informed.",,ICT Risk Management,"Measures Taken (Compliant: Partial):
- Defined and documented target controls for the protection of Information Assets, as per ZPS Information Risk Management Policy 2.0.
- Periodic validation of the implementation of protection measures, based on evidences provided by the ICT Asset Owners.","• ZPS Information Risk Management Policy 2.0 – [Information Security]: Define and document target controls, appropriate for achieving protection needs of the Information Assets. Periodic validation of the implementation of protection measures, based on evidences provided by the ICT Asset Owners.",,https://docs.google.com/document/d/1AlqhMJP23cbMqTgHtAaPD1Lr5MwNRNdeZrFO1-2LaMM/preview,"Top Relevant Documents:
1. [Score: 4] Definition: ZPS Information Risk Management Policy 2.0 – [Information Security]: Define and document target controls, appropriate for achieving protection needs of the Information Assets. Periodic validation of the implementation of protection measures, based on evidences provided by the ICT Asset Owners. - This document defines the target controls and validation processes for protecting Information Assets, which aligns with the requirement for implementing communication policies for internal staff involved in ICT risk management.
2. 
3.",https://docs.google.com/document/d/1AlqhMJP23cbMqTgHtAaPD1Lr5MwNRNdeZrFO1-2LaMM/preview,"- [F3] No documented communication policies for internal staff and external stakeholders involved in ICT risk management.
- [F4] No defined differentiation in communication between staff responsible for response and recovery and staff that needs to be informed.","- Update: ZPS ICT Risk Management Guideline — Add a section on ""Communication Policies"" under ""Risk Management Framework"". This section should detail the communication policies for internal staff and external stakeholders involved in ICT risk management.
- Update: ZPS ICT Risk Management Procedure — Create a new section under ""Risk Response and Recovery"". This section should clearly differentiate between the staff responsible for response and recovery and the staff that needs to be informed.",,,"Documents scanned:
• ZPS ICT Risk Management Guideline
• ZPS Risk Management Policy 6.0 
• ZPS Information Risk Management Policy 2.0
• ZPS ICT Risk Management Procedure
• 03. Work instructions for assessing risks and usage of SAP GRC 4.0
• ZPS Regular review of the Control Catalogue (Target Controls)",Partial compliant,"- Develop communication policies for internal staff and external stakeholders involved in ICT risk management. This should be done in collaboration with the ICT Risk Management team and HR. The resulting policy document will be the artifact.
- Identify the staff responsible for response and recovery and those that need to be informed. Develop a communication plan that clearly differentiates between these two groups. The communication plan will be the artifact.
- Conduct periodic reviews of the communication policies and plans. This could be done through internal audits or third-party audits. The audit reports will serve as the evidence artifact.
- Monitor the effectiveness of the communication policies and plans through KPIs such as the number of staff informed, the speed of information dissemination, and the level of understanding among staff. The KPI dashboard will be the evidence artifact.",,,,,,,,,,,,,
DORA,Art. 14 (3),3. At least one person in the financial entity shall be tasked with implementing the communication strategy for ICT related incidents and fulfil the public and media function for that purpose.,,Business Continuity And Emergency Mgt,"- ZPS Policy ICT Business Continuity Policy_.docx has established and implemented the role of Crisis Communication Manager who is tasked with implementing the communication strategy for ICT-related incidents and fulfills the public and media function for that purpose.
- The same document also includes a section on Crisis Communication Plans.","• ZPS Policy ICT Business Continuity Policy_.docx – [Crisis Communication Manager]: Implements the communication strategy for ICT-related incidents and fulfills the public and media function for that purpose.
• ZPS Policy ICT Business Continuity Policy_.docx – [Establishes and implements the Crisis Communication Manager role within ZPS that is tasked with implementing the communication strategy for ICT-related incidents and that fulfils the public and media function for that purpose.
- This section clearly defines the responsibility of implementing the communication strategy for ICT-related incidents and fulfilling the public and media function, assigning it to the Crisis Communication Manager role within the organization.]","• ZPS Policy ICT Business Continuity Policy_.docx – [Section]: Crisis Communication Plans
[Justification]: Crisis communication plans enable ZPS to responsibly disclose major ICT-related incidents or vulnerabilities to clients and the public, as appropriate. This includes fulfilling the public and media function as required by the DORA regulation.",https://drive.google.com/file/d/1HUn7M9OUOhPAGPyGlk8magBr4BQMOBle/preview,"Top Relevant Documents:
1. [Score: 5] Definition: ZPS Policy ICT Business Continuity Policy_.docx – [Establishes and implements the Crisis Communication Manager role within ZPS that is tasked with implementing the communication strategy for ICT-related incidents and that fulfils the public and media function for that purpose. - This section clearly defines the responsibility of implementing the communication strategy for ICT-related incidents and fulfilling the public and media function, assigning it to the Crisis Communication Manager role within the organization.]
2. [Score: 4] Definition: ZPS Policy ICT Business Continuity Policy_.docx – [Crisis Communication Manager]: Implements the communication strategy for ICT-related incidents and fulfills the public and media function for that purpose.
3. [Score: 4] Definition: ZPS Policy ICT Business Continuity Policy_.docx – [Section]: Crisis Communication Plans [Justification]: Crisis communication plans enable ZPS to responsibly disclose major ICT-related incidents or vulnerabilities to clients and the public, as appropriate. This includes fulfilling the public and media function as required by the DORA regulation.",https://drive.google.com/file/d/1HUn7M9OUOhPAGPyGlk8magBr4BQMOBle/preview,No gaps,- No actions needed as the requirement is fully met.,,,"Workstreams considered: business continuity and emergency mgt
Documents scanned (Evidence Category: design):
• ZPS Guideline Business Continuity Management Roles and Responsibilities.docx
• ZPS Guideline Business Continuity Management 2024.docx
• ZPS Policy ICT Business Continuity Policy_.docx
• ZPS Business Continuity Management Testing Procedure.docx
• ZPS BCM Business Impact Analysis Procedure.docx",100% compliant,No,The role of Crisis Communication Manager is already established and tasked with the required responsibilities.,Yes,To ensure the Crisis Communication Manager is effectively implementing the communication strategy for ICT-related incidents.,,,,,,,,,,
DORA,Art. 6 (1),"1.   Financial entities shall have a sound, comprehensive and well-documented ICT risk management framework as part of their overall risk management system, which enables them to address ICT risk quickly, efficiently and comprehensively and to ensure a high level of digital operational resilience.",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 6 (2),"2.   The ICT risk management framework shall include at least strategies, policies, procedures, ICT protocols and tools that are necessary to duly and adequately protect all information assets and ICT assets, including computer software, hardware, servers, as well as to protect all relevant physical components and infrastructures, such as premises, data centres and sensitive designated areas, to ensure that all information assets and ICT assets are adequately protected from risks including damage and unauthorised access or usage.",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 6 (3),"3. In accordance with their ICT risk management framework, financial entities shall minimise the impact of ICT risk by deploying appropriate strategies, policies, procedures, ICT protocols and tools. They shall provide complete and updated information on ICT risk and on their ICT risk management framework to the competent authorities upon their request.",,ICT Strategy & Governance,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 6 (4),"4.   Financial entities, other than microenterprises, shall assign the responsibility for managing and overseeing ICT risk to a control function and ensure an appropriate level of independence of such control function in order to avoid conflicts of interest. Financial entities shall ensure appropriate segregation and independence of ICT risk management functions, control functions, and internal audit functions, according to the three lines of defence model, or an internal risk management and control model.",,ICT Strategy & Governance,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 6 (5),"5. The ICT risk management framework shall be documented and reviewed at least once a year, or periodically in the case of microenterprises, as well as upon the occurrence of major ICT-related incidents, and following supervisory instructions or conclusions derived from relevant digital operational resilience testing or audit processes. It shall be continuously improved on the basis of lessons derived from implementation and monitoring. ",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 3 (1) RTS RMF,"Financial entities shall develop, document and implement policies and procedures concerning ICT risk management that are necessary to ensure the security of networks, enable adequate safeguards against intrusions and data misuse, preserve the availability, authenticity, integrity and confidentiality of data, including cryptographic techniques, and guarantee an accurate and prompt data transmission without major disruptions and undue delay. The policies and procedures concerning ICT risk management shall include all of the following:",,Information Security Management (ISM),,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 3 (1) (a) RTS RMF,the indication of the approval of the risk tolerance level for ICT risk,,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 3 (1) (b) RTS RMF,"the procedure and the methodology to conduct the ICT risk assessment, identifying vulnerabilities and threats that affect or may affect the supported business functions, the ICT systems and ICT assets supporting those functions and the quantitative or qualitative indicators to measure impact and likelihood of those vulnerabilities being exploited by threats;",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 3 (1) (c) RTS RMF,"the procedure to identify, implement and document ICT risk treatment measures for
the ICT risk assessed, including the determination of ICT risk treatment measures necessary to bring ICT risk within the risk tolerance levels. The procedure shall ensure the monitoring of the effectiveness of the measures implemented, the assessment of whether the established risk tolerance levels of the financial entity have been attained and that the financial entity takes actions to correct or improve the measures where necessary;",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 3 (1) (d) RTS RMF,"with reference to the ICT risk that is still present following the implementation of the ICT risk treatment measures:
(i) provisions on the identification of residual ICT risks;
(ii) the assignment of roles and responsibilities regarding the acceptance of the residual ICT risks that exceed the financial entity’s risk tolerance level referred to in point (a), and for the assessment process referred to in point (iv);
(iii)the development of an inventory of the accepted residual ICT risks, including an explanation of the reasons for which they were accepted;
(iv) provisions on the assessment of the accepted residual ICT risks at least once a year, including the identification of any changes to the residual ICT risks, the assessment of available mitigation measures and the assessment of whether the
reasons justifying the acceptance of residual ICT risks are still valid and applicable at the date of the review;",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 3 (1) (e) RTS RMF,"provisions on the monitoring of any changes to the ICT risk and cyber threat landscape, internal and external vulnerabilities and threats and of ICT risk of the financial entity to promptly detect changes that could affect its ICT risk profile;",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 3 (1) (f) RTS RMF,"provisions on a process to ensure that changes to the business strategy and the digital operational resilience strategy of the financial entity, if any, are taken into account.",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 27 RTS RMF,A report on the review of the ICT risk management framework shall be submitted to the competent authority upon its request. For Format and Content please see Art. 27 RTS-RMF and include the content and formatting requirements in the ICT Risk Management Policy,,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Article 7,"In order to address and manage ICT risk, financial entities shall use and maintain updated ICT systems, protocols and tools that are 
1) appropriate to the magnitude of operations
2) reliable
3) equipped with sufficient capacity to accurately process the data necessary for the performance of activities and the timely provision of services, and to deal with peak orders, message or transaction volumes, as needed, including where new technology is introduced
4) technologically resilient in order to adequately deal with additional information processing needs as required under stressed market conditions or other adverse situations",,ICT Operations And Continuity,Partial compliant,"• ZPS Policy ICT Business Continuity Policy_.docx – [ICT Business Continuity Management Policy]: The ICT Business Continuity Management Policy outlines the objectives for the development, implementation, and operation of ICT business continuity management at Zalando Payments GmbH, ensuring the continued availability of critical ICT services and systems in line with DORA requirements.","• ZPS Policy ICT Business Continuity Policy_.docx – [Scope]: This Policy applies to all ICT systems, services protocols, tools, and infrastructure within ZPS, including those supporting critical/important functions and managed by third-party service providers. It encompasses all departments and personnel involved in the ICT operations, risk management, and business continuity planning. This clearly outlines the scope of ICT systems and tools required to address and manage ICT risk as per the DORA requirement.",https://drive.google.com/file/d/1HUn7M9OUOhPAGPyGlk8magBr4BQMOBle/preview,"- ZPS Policy ICT Business Continuity Policy_.docx – [ICT Business Continuity Management Policy]: The policy outlines the objectives for the development, implementation, and operation of ICT business continuity management at Zalando Payments GmbH, ensuring the continued availability of critical ICT services and systems in line with DORA requirements.
- ZPS Policy ICT Business Continuity Policy_.docx – [Scope]: The policy applies to all ICT systems, services protocols, tools, and infrastructure within ZPS, including those supporting critical/important functions and managed by third-party service providers. It encompasses all departments and personnel involved in the ICT operations, risk management, and business continuity planning.","- [F4] No documented evidence of systems being reliable, technologically resilient, and equipped with sufficient capacity to accurately process the data necessary for the performance of activities and the timely provision of services.
- [F4] No documented procedures for dealing with peak orders, message or transaction volumes, especially when new technology is introduced or under stressed market conditions.","- Update: IT Operations Policy.docx — Add a section on ""Reliability and Resilience of ICT Systems"" to outline the measures taken to ensure the reliability and resilience of ICT systems.
- Update: Capacity Assessment Procedure _ Working.docx — Add a section on ""Capacity Planning for Peak Volumes and New Technology Introduction"" to outline the procedures for dealing with peak orders, message or transaction volumes, and the introduction of new technologies.
- Update: ZPS Policy ICT Business Continuity Policy_.docx — Add a section on ""ICT System Capacity under Stressed Market Conditions"" to outline the measures taken to ensure ICT systems can handle increased information processing needs under stressed market conditions.",Yes,,,"Workstreams considered: ict operations and continuity
Documents scanned (Evidence Category: design):
• Problem Management Guideline.docx
• Release Management Guideline.docx
• Change Management Guideline.docx
• Data Persistence and Backup Restore Guideline.docx
• ZPS Guideline Business Continuity Management Roles and Responsibilities.docx
• ZPS Guideline Business Continuity Management 2024.docx
• IT Operations Policy.docx
• ZPS Policy ICT Business Continuity Policy_.docx
• ZPS Change Management Procedure - Infrastructure.docx
• ZPS Change Management Procedure - Software.docx
• Capacity Assessment Procedure _ Working.docx
• Restore Testing Procedure.docx
• ZPS Business Continuity Management Testing Procedure.docx",Yes,,The updates to the documents need to be implemented to ensure full compliance with the requirement.,,The effectiveness of the updated procedures and measures needs to be assessed to ensure they are capable of addressing the ICT risks as per the requirement.,,,,,,,,,,
DORA,Art. 8 (1) ,"1. As part of the ICT risk management framework, financial entities shall identify, classify and adequately document all ICT supported business functions, roles and responsibilities, the information assets and ICT assets supporting those functions, and their roles and dependencies in relation to ICT risk. Financial entities shall review as needed, and at least yearly, the adequacy of this classification and of any relevant documentation.",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 8 (2) ,"2.   Financial entities shall, on a continuous basis, identify all sources of ICT risk, in particular the risk exposure to and from other financial entities, and assess cyber threats and ICT vulnerabilities relevant to their ICT supported business functions, information assets and ICT assets. Financial entities shall review on a regular basis, and at least yearly, the risk scenarios impacting them.",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 8 (4) ,"4.   Financial entities shall identify all information assets and ICT assets, including those on remote sites, network resources and hardware equipment, and shall map those considered critical. They shall map the configuration of the information assets and ICT assets and the links and interdependencies between the different information assets and ICT assets.",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 8 (5) ,"5.   Financial entities shall identify and document all processes that are dependent on ICT third-party service providers, and shall identify interconnections with ICT third-party service providers that provide services that support critical or important functions.",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 8 (7) ,"7.   Financial entities, other than microenterprises, shall on a regular basis, and at least yearly, conduct a specific ICT risk assessment on all legacy ICT systems and, in any case before and after connecting technologies, applications or systems.",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 13 (7),"7. Financial entities, other than microenterprises, shall monitor relevant technological developments on a continuous basis, also with a view to understanding the possible impact of the deployment of such new technologies on ICT security requirements and digital operational resilience. They shall keep up-to-date with the latest ICT risk management processes, in order to effectively combat current or new forms of cyber-attacks.",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 8 (3) ,"3.   Financial entities, other than microenterprises, shall perform a risk assessment upon each major change in the network and information system infrastructure, in the processes or procedures affecting their ICT supported business functions, information assets or ICT assets.",,ICT Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art 9 (4) (c),"As part of the ICT risk management framework referred to in Article 6(1), financial entities shall:
(c) implement policies that limit the physical or logical access to information assets and ICT assets to what is required for legitimate and approved functions and activities only, and establish to that end a set of policies, procedures and controls that address access rights and ensure a sound administration thereof;",,ICT Operations And Continuity,Partial compliant,"• ZPS Guideline Business Continuity Management Roles and Responsibilities.docx – [ZPS Information Security Policy
- The ZPS Information Security Policy provides guidance on how Information Security is handled in ZPS, including defining rules to protect the availability, authenticity, integrity, and confidentiality of data, information assets, and ICT assets.]
• Change Management Guideline.docx – [Structure of a Change]: The excerpt clearly outlines the process of initiating modification to IT systems through a change request, including the requirement for a comprehensive description, acceptance criteria, and marker for significant changes. It defines the process and responsibilities involved in fulfilling the DORA requirement.
• ZPS Policy ICT Business Continuity Policy_.docx – [Scope]: This Policy applies to all ICT systems, services protocols, tools, and infrastructure within ZPS, including those supporting critical/important functions and managed by third-party service providers. It encompasses all departments and personnel involved in the ICT operations, risk management, and business continuity planning. This directly fulfills the requirement by defining the scope of the information security policy to include all ICT assets and information assets within the organization.
• ZPS Policy ICT Business Continuity Policy_.docx – [ICT Business Continuity Management Policy]: The ICT Business Continuity Management Policy outlines the objectives for the development, implementation, and operation of ICT business continuity management at Zalando Payments GmbH, ensuring uninterrupted availability of critical ICT Services and systems, which is an integral part of the overall BCM Programme and ICT risk management framework.
• ZPS Change Management Procedure - Software.docx – [Implementation]: The Implementation Engineer develops and tests the change according to the defined criteria, including linking code changes to the Change Request in Github Enterprise.
• IT Operations Policy.docx – [IT Operations Policy - Responsibilities]: The policy outlines the responsibilities of various stakeholders, including the Managing Director and Business Unit Lead, in managing IT operations and ensuring compliance with IT Operations guidelines and procedures.","• Change Management Guideline.docx – [Responsibilities]: The excerpt clearly outlines the responsibilities of various roles in the change management process, including defining the scope, implementing changes, reviewing modifications, running security assessments, and evaluating risks. This aligns with the requirement to implement policies that limit access to information assets and ICT assets to what is required for legitimate functions and activities.
• Problem Management Guideline.docx – [Overview of Incident and Problem Management]: The Quarterly Problem Management Report is prepared and communicated to the Technology Department Management, ZPS Risk & Controls Team, and Managing Directors of ZPS, providing information on active problem definitions, remediation actions, affected business services, related asset groups, assigned teams, and timelines, which align with the requirement to implement policies that limit access to information assets and ICT assets.
• ZPS Change Management Procedure - Infrastructure.docx – [Responsibilities]: Defines the responsibilities and actions of various roles in the change management process, including reviewing and approving change requests to ensure compliance with risk and security criteria.
• ZPS Change Management Procedure - Infrastructure.docx – [Change Request Lifecycle]: The excerpt clearly defines the stages of a Change Request, including Initial, Execution, and Approval, outlining the process from start to finish and the actions required at each stage.
• IT Operations Policy.docx – [Data Persistence and Backup Standard]: The document explicitly defines the requirement by outlining the objective, requirements, and KPIs for backup & restore processes, including periodical restore tests, backup verification, and measuring restore performance against Recovery time objectives and Recovery point objectives.","https://drive.google.com/file/d/14yHXHGK4vkHyLdgHS1bAYQuEPJEeFD5x/preview
https://drive.google.com/file/d/1ufDQpfIML0VTuz1gJruJHePaKoKZDxo9/preview
https://drive.google.com/file/d/1iySs5LVEbdejWZs5ddSEI_54hwTVKAYY/preview
https://drive.google.com/file/d/1ZmQwx2UtvxlinOP6mOVFW-T3-ew1pcax/preview
https://drive.google.com/file/d/1HUn7M9OUOhPAGPyGlk8magBr4BQMOBle/preview
https://drive.google.com/file/d/187jQhFin_NcxCBCgmmwrHGGUgxPqeebZ/preview
https://drive.google.com/file/d/1oTki0YcCnHV0NBoUcXsqjNYVuMDgj9Jg/preview","- ZPS Guideline Business Continuity Management Roles and Responsibilities.docx – [ZPS Information Security Policy]: An information security policy has been developed and documented.
- Change Management Guideline.docx – [Structure of a Change]: A process for initiating modification to IT systems has been defined.
- ZPS Policy ICT Business Continuity Policy_.docx – [Scope]: The scope of the information security policy includes all ICT assets and information assets within the organization.
- ZPS Policy ICT Business Continuity Policy_.docx – [ICT Business Continuity Management Policy]: A policy for ICT business continuity management has been developed.
- IT Operations Policy.docx – [IT Operations Policy - Responsibilities]: Responsibilities for managing IT operations and ensuring compliance with IT Operations guidelines and procedures have been outlined.
- Change Management Guideline.docx – [Responsibilities]: Responsibilities for the change management process have been defined.
- Problem Management Guideline.docx – [Overview of Incident and Problem Management]: A Quarterly Problem Management Report is prepared and communicated to relevant stakeholders.
- ZPS Change Management Procedure - Infrastructure.docx – [Responsibilities]: Responsibilities for the change management process, including reviewing and approving change requests to ensure compliance with risk and security criteria, have been defined.
- IT Operations Policy.docx – [Data Persistence and Backup Standard]: A standard for data persistence and backup has been defined.",- [F4] No documented policies that limit the physical or logical access to information assets and ICT assets to what is required for legitimate and approved functions and activities only.,"- Update: IT Operations Policy.docx — Create new section under ""Access Control"" to define policies that limit the physical or logical access to information assets and ICT assets to what is required for legitimate and approved functions and activities only.",Yes,,,"Workstreams considered: ict operations and continuity
Documents scanned (Evidence Category: design):
• Problem Management Guideline.docx
• Release Management Guideline.docx
• Change Management Guideline.docx
• Data Persistence and Backup Restore Guideline.docx
• ZPS Guideline Business Continuity Management Roles and Responsibilities.docx
• ZPS Guideline Business Continuity Management 2024.docx
• IT Operations Policy.docx
• ZPS Policy ICT Business Continuity Policy_.docx
• ZPS Change Management Procedure - Infrastructure.docx
• ZPS Change Management Procedure - Software.docx
• Capacity Assessment Procedure _ Working.docx
• Restore Testing Procedure.docx
• ZPS Business Continuity Management Testing Procedure.docx",Yes,,The new access control policies need to be implemented to ensure compliance with the requirement.,,The effectiveness of the new access control policies needs to be assessed to ensure they are working as intended and are effectively limiting access to information assets and ICT assets.,,,,,,,,,,
DORA,Art. 9 (4) (d),"4. As part of the ICT risk management framework referred to in Article 6(1), financial entities shall:
(d) implement policies and protocols for strong authentication mechanisms, based on relevant standards and dedicated control systems, and protection measures of cryptographic keys whereby data is encrypted based on results of approved data classification and ICT risk assessment processes;",,Operational ICT Security (OpSec),,,,,,,,,,,,,,,,,,,,,,,,,,
DORA,Art. 21 (1) RTS RMF,"As part of their control of access management rights, financial entities shall develop, document and implement a policy that includes all of the following elements:",,ICT Operations And Continuity,,"No relevant evidence found in scanned documents.
• IT Operations Policy.docx – API error: Cannot read properties of undefined (reading '0')
• ZPS Policy ICT Business Continuity Policy_.docx – API error: Cannot read properties of undefined (reading '0')
• ZPS Change Management Procedure - Infrastructure.docx – API error: Cannot read properties of undefined (reading '0')
• ZPS Change Management Procedure - Software.docx – API error: Cannot read properties of undefined (reading '0')","• ZPS Guideline Business Continuity Management 2024.docx – API error: Cannot read properties of undefined (reading '0')
• ZPS Change Management Procedure - Software.docx – API error: Cannot read properties of undefined (reading '0')
• ZPS Policy ICT Business Continuity Policy_.docx – API error: Cannot read properties of undefined (reading '0')
• IT Operations Policy.docx – API error: Cannot read properties of undefined (reading '0')","https://drive.google.com/file/d/1g7mLyKGxccEV5D-uHaWdTE8mdO4fExkG/preview
https://drive.google.com/file/d/1ZmQwx2UtvxlinOP6mOVFW-T3-ew1pcax/preview
https://drive.google.com/file/d/1HUn7M9OUOhPAGPyGlk8magBr4BQMOBle/preview
https://drive.google.com/file/d/187jQhFin_NcxCBCgmmwrHGGUgxPqeebZ/preview
https://drive.google.com/file/d/1oTki0YcCnHV0NBoUcXsqjNYVuMDgj9Jg/preview",,,,,,,"Workstreams considered: ict operations and continuity
Documents scanned (Evidence Category: design):
• Problem Management Guideline.docx
• Release Management Guideline.docx
• Change Management Guideline.docx
• Data Persistence and Backup Restore Guideline.docx
• ZPS Guideline Business Continuity Management Roles and Responsibilities.docx
• ZPS Guideline Business Continuity Management 2024.docx
• IT Operations Policy.docx
• ZPS Policy ICT Business Continuity Policy_.docx
• ZPS Change Management Procedure - Infrastructure.docx
• ZPS Change Management Procedure - Software.docx
• Capacity Assessment Procedure _ Working.docx
• Restore Testing Procedure.docx
• ZPS Business Continuity Management Testing Procedure.docx",,,,,,,,,,,,,,,
